numeric_variable^mean^std
annual_inc^75230.38909480652^65243.68941579512
avg_cur_bal^12402.720344249912^15973.456501934323
bc_open_to_buy^8826.174978298843^14272.03227589327
bc_util^59.40290846573982^28.395020470496142
delinq_2yrs^0.3066727526607819^0.8560576724471356
delinq_amnt^13.845304091113222^733.5089398603096
dti^17.86756779257558^8.856441036364274
fico_range_high^699.6032643505532^31.352771285291638
fico_range_low^695.6031514651786^31.352231578576976
funded_amnt^14301.566928757058^8492.959775583475
funded_amnt_inv^14268.017854315049^8498.313018677722
installment^436.7496239199201^255.73193595646555
int_rate^13.490992716439306^4.618483392240434
loan_amnt^14315.458210325085^8499.794026146914
loan_status^0.20624157960995648^0.4046059693701348
mort_acc^3.586227498213978^8.45395108284031
num_accts_ever_120_pd^3.792510814737207^12.703298823327659
num_bc_sats^6.970189265655382^10.265984443730279
num_bc_tl^11.060063876998399^11.767721402288831
num_il_tl^11.238939342343816^12.861963514002431
num_op_rev_tl^10.946823894961899^11.638227409098794
num_rev_accts^17.124564371485416^12.188192246605356
num_rev_tl_bal_gt_0^8.487277350604082^11.831731621652024
num_sats^13.41120788438012^9.915634894785388
open_acc^11.5210985219378^5.325060407350223
pct_tl_nvr_dlq^89.88189396978527^18.105431201345315
percent_bc_gt_75^46.049933831819715^34.94910959159189
pub_rec^0.20573359542372507^0.584932944724899
pub_rec_bankruptcies^0.17264397179828853^1.7467981227261624
revol_bal^16068.643964436198^21604.984790492144
revol_util^53.00361604371115^24.339810276808816
tax_liens^0.051054435290912976^0.9651695471085711
tot_coll_amt^216.78612297494612^10302.187842814334
tot_hi_cred_lim^158202.39273339522^173584.6340127465
total_bal_ex_mort^45822.77955229152^46253.343446991734
total_bc_limit^19616.72220406714^20708.650097029826
total_il_high_credit_limit^37532.66290981545^41829.05927358829
